slang,formal
"Kita bestie forever and ever, gak akan pisah","Kita sahabat selamanya, tidak akan terpisah"
Itu sih cringe moment of the year buat dia,Itu sih momen paling memalukan/aneh tahun ini untuknya
"Healing itu kebutuhan primer, bukan sekunder","Memulihkan diri itu kebutuhan utama, bukan tambahan"
"Merasa insecure itu manusiawi, yang penting bangkit","Merasa tidak percaya diri itu wajar, yang penting bangkit"
Ini mah literally me banget kalo lagi laper,Ini sih benar-benar aku sekali kalau sedang lapar
Gw prefer diem daripada salah ngomong ntar,Saya lebih memilih diam daripada salah bicara nanti
"Perjuangannya emang berat, tapi worth it hasilnya","Perjuangannya memang berat, tapi hasilnya sepadan"
"Aku anaknya clingy ke bestie, bukan ke pacar","Aku anaknya manja ke sahabat, bukan ke pacar"
Ghosting itu red flag banget dalam hubungan,Menghilang tiba-tiba itu pertanda buruk sekali dalam hubungan
Spill semua jangan ada yang ditutupin lagi!,Ungkap semua jangan ada yang ditutupi lagi!
"Orangnya asik, vibesnya positif banget","Orangnya menyenangkan, auranya positif sekali"
YGY kita pasti bisa lewatin ini semua bareng,"Ya Teman-teman Ya, kita pasti bisa melewati ini semua bersama"
"Gw TBL takut ketinggian, jangan ajak naik itu","Saya takut sekali ketinggian, jangan ajak naik itu"
Seharian nolep di kamar aja sambil maraton drakor,Seharian menyendiri di kamar saja sambil maraton drama Korea
Dia caper ke dosen biar dapet nilai A plus,Dia mencari perhatian ke dosen agar dapat nilai A plus
"Penjelasan lo gaje parah sih, gak mudeng gw","Penjelasanmu tidak jelas parah sih, saya tidak mengerti"
"Jokesnya jayus kriuk-kriuk, tapi dia ketawa","Leluconnya sangat tidak lucu, tapi dia tertawa"
"Style-nya kamseupay, kayak dari jaman kapan","Gayanya kampungan, seperti dari zaman kapan"
Kicep brutal pas ketauan nyontek sama pengawas,Terdiam kaku saat ketahuan menyontek oleh pengawas
"Sekuttt, lagunya enak buat joget TikTok","Keren, lagunya enak untuk berjoget TikTok"
Tengsin abis salah kostum pas acara penting,Malu sekali salah kostum saat acara penting
Mukanya bonyok dihajar massa gara-gara maling,Mukanya babak belur dipukuli massa gara-gara mencuri
Duit di dompet tinggal cepek buat seminggu,Uang di dompet tinggal seratus ribu untuk seminggu
Jajan seblak pake gocengan udah paling bener,Jajan seblak pakai lima ribuan sudah paling benar
Nongki di cafe favorit sambil wifi-an gratis,Nongkrong di kafe favorit sambil menggunakan Wi-Fi gratis
"Saking bingungnya, gw curhat ke tembok kamar","Saking bingungnya, saya curhat ke tembok kamar"
Nungguin antrian yang panjangnya malesin banget,Menunggu antrean yang panjangnya menyebalkan sekali
"Anak itu songongnya minta ampun, gak sopan","Anak itu sombongnya keterlaluan, tidak sopan"
Congratz for your new achievement this year!,Selamat atas pencapaian barumu tahun ini!
"Omongan haters mah EGP-in aja, gak penting","Ucapan pembenci sih tidak usah dipikirkan saja, tidak penting"
"Fiks no kecot, kita berangkat sekarang juga!","Pasti tanpa banyak bicara, kita berangkat sekarang juga!"
"Jangan sebar berita hoax, bisa meresahkan warga","Jangan sebar berita bohong, bisa meresahkan warga"
Mesti jaim di depan gebetan baru biar keren,Harus jaga citra diri di depan gebetan baru agar terlihat keren
Julidnya netizen +62 emang top markotop,Komentar pedas warganet Indonesia memang terbaik
Komuknya gak kekontrol pas kaget liat hantu,Ekspresi wajahnya tidak terkontrol saat kaget melihat hantu
Udah KZL tingkat provinsi nungguin dia,Sudah kesal tingkat tinggi menungguinya
Rasanya mantab jiwa bro! Bikin nagih lagi,Rasanya mantap sekali kawan! Membuat ketagihan lagi
Gw ngabrut sampe nangis nonton film komedi itu,Saya tertawa terbahak-bahak sampai menangis menonton film komedi itu
Pewe maksimal di kasur empuk sambil baca buku,Posisi sangat nyaman maksimal di kasur empuk sambil baca buku
"Plis atuhlah jangan rese, lagi gak mood becanda","Tolong dong jangan mengganggu, sedang tidak ingin bercanda"
"Acaranya semalem saik bener, seru abis!","Acaranya semalam asyik benar, seru sekali!"
Kerjainnya selow tapi pasti nyampe tujuan kok,Mengerjakannya santai tapi pasti sampai tujuan kok
"Gara-gara dia, gw jadi unmood seharian ini","Gara-gara dia, saya jadi tidak bersemangat seharian ini"
Usaha udah maksimal tapi hasilnya zonk total hari ini mah,Usaha sudah maksimal tapi hasilnya gagal total hari ini
Cius miapah lo dapet info itu dari mana?,Serius demi apa kamu dapat info itu dari mana?
Doku menipis banget di tanggal tua gini,Uang menipis sekali di tanggal tua begini
Jangan suka kepo-in semua sosmednya dia dong,Jangan suka mencari tahu semua media sosialnya dia dong
"Liatnya juga bikin LMAO brutal, kocak parah","Melihatnya juga membuat tertawa terpingkal-pingkal brutal, lucu parah"
"Bentar ya, gw AFK dulu, ada paket dateng nih","Sebentar ya, saya tinggal dulu, ada paket datang nih"
"Tim lawan emang jago, GGWP buat mereka","Tim lawan memang hebat, permainan bagus untuk mereka"
"NP aja, santai kayak di pantai, jangan dibawa stres","Tidak masalah saja, santai seperti di pantai, jangan dibawa stres"
"BRB, mau angkat jemuran dulu sebelum hujan","Segera kembali, mau angkat jemuran dulu sebelum hujan"
"Weekend ini mau ngapain lagi ya, IDK euy","Akhir pekan ini mau melakukan apa lagi ya, saya tidak tahu"
"Keputusan itu kurang tepat, IMO ya","Keputusan itu kurang tepat, menurut pendapat saya ya"
"Orangnya asik kok IRL, beda sama di medsos","Orangnya menyenangkan kok di kehidupan nyata, berbeda dengan di media sosial"
"FYI, besok ada deadline penting banget loh","Sebagai informasi, besok ada tenggat waktu penting sekali loh"
"Kita COD-an di depan gang aja ya, lebih gampang","Kita bayar di tempat di depan gang saja ya, lebih mudah"
"Lawakannya teh garing pisan euy, teu lucu","Leluconnya itu kering sekali, tidak lucu"
Suka halu jadi pacarnya artis Korea terkenal,Suka berkhayal jadi pacarnya artis Korea terkenal
Dia narsis di setiap kesempatan foto buat IG,Dia narsis di setiap kesempatan foto untuk Instagram
Olshop langganan lagi banyak promo menarik,Toko daring langganan sedang banyak promo menarik
Tempatnya PW banget nih buat kerja remote,Tempatnya nyaman sekali nih untuk kerja jarak jauh
Bawa barang segambreng gini bikin rempong deh,Bawa barang sebanyak ini membuat repot deh
"Anak anjingnya unyu pisan, pengen bawa pulang","Anak anjingnya lucu sekali, ingin bawa pulang"
"Woles bro, jangan sampe darah tinggi naik lagi","Santai kawan, jangan sampai darah tinggi naik lagi"
"Dia bucin level dewa ke pasangannya, apa aja dikasih","Dia budak cinta tingkat dewa ke pasangannya, apa saja diberikan"
Gabut di rumah menghasilkan karya seni tak terduga,Bosan di rumah menghasilkan karya seni tak terduga
Monmaapkeun segala kesalahan saiia yang disengaja maupun tidak,Mohon maafkan segala kesalahan saya yang disengaja maupun tidak
"Ngokey, siap laksanakan perintah komandan!","Oke, siap laksanakan perintah komandan!"
"Kreasi masakanmu ntaps soul, lanjutkan!","Kreasi masakanmu mantap jiwa, lanjutkan!"
Kalo cuma segitu doang mah sabi lah buat gw,Kalau hanya sebanyak itu sih bisalah untuk saya
"Yauds, gak usah dibahas lagi ntar ribet urusannya","Ya sudah, tidak usah dibahas lagi nanti rumit urusannya"
Dompet bokek parah di akhir perjalanan liburan,Dompet kosong parah di akhir perjalanan liburan
Mending spill semua unek-unek di hati biar lega,Lebih baik ungkapkan semua isi hati agar lega
"Tindakan ghosting itu pengecut, titik gak pake koma","Tindakan menghilang tiba-tiba itu pengecut, titik tidak pakai koma"
Jadi salty karena gak diajak mabar sama tim,Jadi kesal karena tidak diajak main bareng oleh tim
"Pemandangannya goks abis, wajib kesini lagi kapan-kapan","Pemandangannya luar biasa sekali, wajib kesini lagi kapan-kapan"
Kuy kita agendakan liburan bareng lagi tahun depan,Ayo kita agendakan liburan bersama lagi tahun depan
"Rasanya mantul, resepnya apa nih? Bagi dong!","Rasanya mantap betul, resepnya apa nih? Bagi dong!"
Game ini noob friendly gak sih? Pengen coba,Permainan ini ramah pemula tidak sih? Ingin coba
"Cara mainnya beda, maklum pro player mah gitu","Cara bermainnya berbeda, maklum pemain profesional memang begitu"
Cewek itu cans maksimal kalo udah dandan natural,Perempuan itu cantik maksimal kalau sudah berdandan alami
"Cowok itu gans overload, pusing pala aing liatnya","Laki-laki itu tampan berlebihan, pusing kepalaku melihatnya"
Anak kucingnya gemoynya bikin pengen cubit pipinya terus,Anak kucingnya lucunya membuat ingin mencubit pipinya terus
Nikmatnya kopi item pagi ini HQQ banget dah,Nikmatnya kopi hitam pagi ini hakiki sekali
Kreatifnya kids jaman now emang beda level,Kreativitas anak zaman sekarang memang beda tingkat
Tengah malem curcol di notes IG biar gak ada yang tau,Tengah malam curhat di catatan Instagram agar tidak ada yang tahu
Mikirin masa depan gak jelas bikin galau brutal,Memikirkan masa depan tidak jelas membuat bingung brutal
Dia jones fisabilillah yang lagi ikhtiar cari jodoh,Dia lajang di jalan Allah yang sedang berusaha mencari jodoh
Modusnya pinjem catatan taunya ngajak kenalan buat pdkt,Modusnya meminjam catatan ternyata mengajak kenalan untuk pendekatan
Lawakan recehnya bikin mood yang tadinya ancur jadi naik lagi,Lelucon murahannya membuat suasana hati yang tadinya hancur jadi naik lagi
"Sotoynya gak ketulungan, semua hal dikomentarin padahal gak tau","Sikap sok tahunya tidak tertolong, semua hal dikomentari padahal tidak tahu"
Pertahanan hatiku ambyar sudah olehnya tak bersisa,Pertahanan hatiku hancur sudah olehnya tidak bersisa
"Gayanya badai banget, selalu jadi pusat perhatian!","Gayanya luar biasa sekali, selalu jadi pusat perhatian!"
Dompet lagi ceper banget di tanggal pertengahan bulan gini,Dompet sedang tipis sekali di tanggal pertengahan bulan begini
"Damai itu indah banget, jangan cari gara-gara deh","Damai itu indah sekali, jangan cari masalah deh"
"Semangat belajarnya teh edun pisan euy, patut dicontoh","Semangat belajarnya itu luar biasa sekali, patut dicontoh"
"Bales chatnya gece atuh, ini penting pisan soalnya!","Balas pesannya cepat dong, ini penting sekali soalnya!"
"Hooh weh, aing ge setuju pisan sama pendapat maneh","Iya lah, saya juga setuju sekali dengan pendapatmu"
Filmnya mah jadul tapi berkesan banget di hati,Filmnya sih kuno tapi berkesan sekali di hati
"Dandanannya katro abis, gak matching sama sekali","Dandanannya kampungan sekali, tidak serasi sama sekali"
Ujian kesetiaan sejati itu ya LDR antar benua,Ujian kesetiaan sejati itu ya hubungan jarak jauh antar benua
"Barang KW tapi harganya mehongnya kebangetan, gak worth it","Barang imitasi tapi harganya mahalnya keterlaluan, tidak sepadan"
"Kebiasaan ngaretnya gak pernah ilang, selalu telat","Kebiasaan terlambatnya tidak pernah hilang, selalu terlambat"
"Kalo udah sama birokrasi, urusannya pasti rempita","Kalau sudah dengan birokrasi, urusannya pasti rumit"
"Gombalannya sa ae lu, bikin pipi jadi merah merona","Rayuannya bisa saja kamu, membuat pipi jadi merah merona"
Makin banyak tilang elektronik di jalan raya sekarang,Makin banyak tilang elektronik di jalan raya sekarang
Bayi teh uculnya minta digendong terus seharian,Bayi itu lucunya minta digendong terus seharian
"Performanya tadi malem wagelaseh, pecah banget suasananya!","Performanya tadi malam luar biasa, pecah sekali suasananya!"
Kirim XOXO buat sahabat tersayang nun jauh di sana biar semangat,Kirim cium dan peluk untuk sahabat tersayang nun jauh di sana agar semangat
"Ngantuknya gak ketulungan, butuh kopi segelas gede biar melek","Mengantuknya tidak tertolong, butuh kopi segelas besar agar terjaga"
"Yok kita gelud di game, jangan di dunia nyata","Ayo kita berkelahi di permainan, jangan di dunia nyata"
Aksi panggungnya tadi kocak gaming pisan euy!,Aksi panggungnya tadi lucu sekali!
"Denger suara aneh di loteng, TBL TBL TBL gw","Mendengar suara aneh di loteng, aku takut sekali"
Spill dong resep seblak terenak di Bandung mana aja?,Beritahu dong resep seblak paling enak di Bandung di mana saja?
Weekend ini mau healing ke Lembang biar adem,Akhir pekan ini mau memulihkan diri ke Lembang agar sejuk
"Dia emang agak laen, si paling beda di antara kita","Dia memang agak berbeda, yang paling berbeda di antara kita"
"Enak ya kalo punya temen sefrekuensi, ngobrol apa aja nyambung","Enak ya kalau punya teman sepemahaman, mengobrol apa saja bersambung"
"Abis hiking ke gunung, badan rasanya mengcapek brutal","Setelah mendaki ke gunung, badan rasanya lelah sekali"
Hati gue mengsad ditinggal pas lagi sayang-sayangnya,Hatiku sedih ditinggal saat sedang sayang-sayangnya
"Idenya buat acara ini menggokil, out of the box pisan!","Idenya untuk acara ini luar biasa, sangat tidak biasa!"
"Persahabatan kita tuh bestie goals sampe tua nanti, amin!","Persahabatan kita itu impian persahabatan sampai tua nanti, amin!"
"Chuaks, dompet gue ketinggalan di angkot tadi siang!","Aduh, dompet saya tertinggal di angkutan kota tadi siang!"
"Kelakuannya hari ini teh random pisan, gak ketebak","Kelakuannya hari ini tuh acak sekali, tidak terduga"
Dia nolep akut sampe lupa hari saking asiknya ngegame,Dia penyendiri akut sampai lupa hari saking asyiknya bermain game
Gue suka halu jadi sultan biar bisa beli apa aja tanpa mikir,Saya suka berkhayal jadi sultan agar bisa membeli apa saja tanpa berpikir
"Liat effort dia buat surprise ultah, gue langsung mleyot","Melihat usahanya untuk kejutan ulang tahun, saya langsung terharu/lemas"
Asli bengek liat tingkahnya di panggung tadi malem,Sungguh sesak napas melihat tingkahnya di panggung tadi malam
"Gercepkeun gih pesenannya, jangan sampe keduluan orang lain!","Segera proses pesanannya, jangan sampai didahului orang lain!"
Bundadari gue itu panutanku dalam hal kesabaran dan kebaikan,Ibu peri (panutan) saya itu teladanku dalam hal kesabaran dan kebaikan
Kita ngabrut gak berenti-berenti nonton video lucu itu,Kita tertawa terbahak-bahak tidak berhenti-henti menonton video lucu itu
Magerday ini diisi dengan rebahan syahdu sambil dengerin musik,Hari bermalas-malasan ini diisi dengan berbaring tenang sambil mendengarkan musik
Netizen salty berjamaah karena timnas favorit kalah lagi di final,Warganet kesal bersama-sama karena tim nasional favorit kalah lagi di final
Dia pansosnya ke selebgram biar cepet naik followers IG-nya,Dia mencari perhatiannya ke selebritas Instagram agar cepat naik pengikut Instagramnya
"Komuk ternistakan pas jatoh di depan umum, malunya gak ketulungan","Ekspresi wajah paling memalukan saat jatuh di depan umum, malunya tidak tertolong"
Monmaapkeun atas segala kegaduhan yang terjadi tadi ya,Mohon maafkan atas segala keributan yang terjadi tadi ya
"Tengkyu very much for the traktiran makan malamnya, bossku!","Terima kasih banyak atas traktiran makan malamnya, bos!"
GWS for your dompet yang lagi kritis di akhir bulan ini,Semoga lekas sembuh untuk dompetmu yang sedang kritis di akhir bulan ini
"HBD WYATB GBU, panjang umurnya serta mulia selalu hendaknya!","Selamat Ulang Tahun, Semoga Semua yang Terbaik Untukmu, Tuhan Memberkati, panjang umurnya serta mulia selalu hendaknya!"
"SBB pisan euy, tadi lagi di jalan macet parah pisan di Pasteur","Maaf sekali baru balas, tadi sedang di jalan macet parah sekali di Pasteur"
"Typo bertebaran di chat grup keluarga besar, bikin salah paham","Salah ketik tersebar di grup chat keluarga besar, membuat salah paham"
"Mohon bimbingannya ya suhu, noob saiyah ini baru belajar","Mohon bimbingannya ya senior, saya yang pemula ini baru belajar"
"Skill edit videonya pro abis dah pokoknya, hasilnya keren banget","Kemampuan menyunting videonya profesional sekali pokoknya, hasilnya keren sekali"
Kuy mabar till drop di warnet kesayangan kita sampe pagi,Ayo main bareng sampai lelah di warung internet kesayangan kita sampai pagi
Para ngabers santuy lagi pada kopdar di Braga sambil ngopi,Para pengendara motor santai sedang pertemuan di Braga sambil minum kopi
"Kita kan bestie forever and ever, susah seneng kudu bareng terus","Kita kan sahabat selamanya, susah senang harus bersama terus"
Itu sih cringe moment of the year pas dia salah server ngomong,Itu sih momen paling memalukan tahun ini saat dia salah server bicara
Healing itu kebutuhan primer buat mental health kita semua,Pemulihan diri itu kebutuhan utama untuk kesehatan mental kita semua
"Merasa insecure itu manusiawi, tapi jangan kelamaan ya, gak baik","Merasa tidak percaya diri itu wajar, tapi jangan terlalu lama ya, tidak baik"
"Ini mah literally me banget pas lagi PMS, bawaannya sensi mulu","Ini sih benar-benar aku sekali saat sedang PMS, bawaannya sensitif terus"
Gue prefer diem daripada nambah masalah baru yang gak penting,Saya lebih memilih diam daripada menambah masalah baru yang tidak penting
Perjuangannya ngejar beasiswa ke luar negeri emang worth it banget,Perjuangannya mengejar beasiswa ke luar negeri memang sepadan sekali
"Clingy ke bestie itu wajar sih, namanya juga udah deket banget","Manja ke sahabat itu wajar sih, namanya juga sudah dekat sekali"
"Perilaku ghosting itu red flag, auto blacklist dari calon pasangan idaman","Perilaku menghilang tiba-tiba itu pertanda buruk, otomatis masuk daftar hitam dari calon pasangan idaman"
"Spill semua jangan ada yang ditutupin, biar plong dan gak ada beban","Ungkap semua jangan ada yang ditutupi, agar lega dan tidak ada beban"
"Vibesnya orang itu positif banget, bawaannya jadi hepi terus kalo deket dia","Aura orang itu positif sekali, bawaannya jadi senang terus kalau dekat dia"
YGY kita pasti bisa lulus ujian dengan nilai memuaskan dan bikin bangga,"Ya Teman-teman Ya, kita pasti bisa lulus ujian dengan nilai memuaskan dan membuat bangga"
Gue TBL takut gelap sendirian di rumah gede pas mati lampu,Saya takut sekali gelap sendirian di rumah besar saat mati lampu
Dia nolep di kamar aja seharian sambil nonton anime terbaru yang lagi viral,Dia menyendiri di kamar saja seharian sambil menonton anime terbaru yang sedang viral
Caper ke dosen biar dapet nilai A dan pujian setinggi langit di depan kelas,Mencari perhatian ke dosen agar dapat nilai A dan pujian setinggi langit di depan kelas
